trial,testing,parameters,initial_deadline,final_deadline,net_reward,actions,success
86,FALSE,"{'a': 0.001, 'e': 0.9963896745022904}",20,3,-50.35297542,"{0: 12, 1: 3, 2: 1, 3: 0, 4: 1}",1
87,FALSE,"{'a': 0.001, 'e': 0.996304278638842}",20,0,-84.44963538,"{0: 13, 1: 1, 2: 5, 3: 0, 4: 1}",0
88,FALSE,"{'a': 0.001, 'e': 0.9962178864711978}",20,0,-67.58264645,"{0: 13, 1: 3, 2: 3, 3: 0, 4: 1}",0
89,FALSE,"{'a': 0.001, 'e': 0.9961304980857502}",25,0,-102.1307716,"{0: 15, 1: 2, 2: 7, 3: 0, 4: 1}",0
90,FALSE,"{'a': 0.001, 'e': 0.9960421135698875}",25,0,-131.3278034,"{0: 14, 1: 1, 2: 8, 3: 1, 4: 1}",0
91,FALSE,"{'a': 0.001, 'e': 0.9959527330119943}",25,0,-92.21626422,"{0: 17, 1: 2, 2: 4, 3: 1, 4: 1}",0
92,FALSE,"{'a': 0.001, 'e': 0.9958623565014509}",25,0,-110.5938196,"{0: 17, 1: 1, 2: 5, 3: 0, 4: 2}",0
93,FALSE,"{'a': 0.001, 'e': 0.9957709841286342}",25,0,-56.60054089,"{0: 20, 1: 1, 2: 3, 3: 0, 4: 1}",0
94,FALSE,"{'a': 0.001, 'e': 0.9956786159849162}",25,0,-56.29625038,"{0: 18, 1: 1, 2: 5, 3: 1, 4: 0}",0
95,FALSE,"{'a': 0.001, 'e': 0.9955852521626654}",20,0,-99.76737582,"{0: 14, 1: 1, 2: 3, 3: 0, 4: 2}",0
96,FALSE,"{'a': 0.001, 'e': 0.9954908927552453}",30,0,-133.2759991,"{0: 19, 1: 5, 2: 3, 3: 1, 4: 2}",0
97,FALSE,"{'a': 0.001, 'e': 0.9953955378570153}",20,11,-54.42070752,"{0: 5, 1: 1, 2: 2, 3: 0, 4: 1}",1
98,FALSE,"{'a': 0.001, 'e': 0.9952991875633305}",30,0,-70.12124271,"{0: 21, 1: 5, 2: 3, 3: 0, 4: 1}",0
99,FALSE,"{'a': 0.001, 'e': 0.995201841970541}",20,6,-114.5170751,"{0: 6, 1: 3, 2: 3, 3: 0, 4: 2}",1
100,FALSE,"{'a': 0.001, 'e': 0.9951035011759926}",30,0,-193.937887,"{0: 20, 1: 1, 2: 5, 3: 0, 4: 4}",0
101,FALSE,"{'a': 0.001, 'e': 0.9950041652780258}",20,0,-91.82581755,"{0: 11, 1: 4, 2: 4, 3: 0, 4: 1}",0
102,FALSE,"{'a': 0.001, 'e': 0.9949038343759766}",20,0,-39.77280016,"{0: 13, 1: 3, 2: 4, 3: 0, 4: 0}",0
103,FALSE,"{'a': 0.001, 'e': 0.994802508570176}",20,0,-174.3298896,"{0: 9, 1: 3, 2: 5, 3: 0, 4: 3}",0
104,FALSE,"{'a': 0.001, 'e': 0.9947001879619498}",25,14,-31.05871807,"{0: 6, 1: 1, 2: 4, 3: 0, 4: 0}",1
105,FALSE,"{'a': 0.001, 'e': 0.9945968726536185}",25,0,-97.70413578,"{0: 14, 1: 8, 2: 1, 3: 1, 4: 1}",0
106,FALSE,"{'a': 0.001, 'e': 0.9944925627484974}",20,0,-70.98764982,"{0: 12, 1: 4, 2: 3, 3: 0, 4: 1}",0
107,FALSE,"{'a': 0.001, 'e': 0.9943872583508965}",20,0,-101.8746144,"{0: 10, 1: 3, 2: 6, 3: 0, 4: 1}",0
108,FALSE,"{'a': 0.001, 'e': 0.9942809595661201}",25,0,-146.2916506,"{0: 17, 1: 1, 2: 4, 3: 0, 4: 3}",0
109,FALSE,"{'a': 0.001, 'e': 0.9941736665004669}",25,0,-126.7198226,"{0: 14, 1: 5, 2: 4, 3: 0, 4: 2}",0
110,FALSE,"{'a': 0.001, 'e': 0.9940653792612301}",25,4,-31.47321479,"{0: 19, 1: 0, 2: 1, 3: 0, 4: 1}",1
111,FALSE,"{'a': 0.001, 'e': 0.9939560979566968}",35,0,-156.8038043,"{0: 22, 1: 4, 2: 6, 3: 1, 4: 2}",0
112,FALSE,"{'a': 0.001, 'e': 0.9938458226961485}",20,0,-117.9778871,"{0: 9, 1: 3, 2: 7, 3: 0, 4: 1}",0
113,FALSE,"{'a': 0.001, 'e': 0.9937345535898603}",20,4,-39.25568199,"{0: 10, 1: 1, 2: 5, 3: 0, 4: 0}",1
114,FALSE,"{'a': 0.001, 'e': 0.9936222907491012}",20,0,-171.5559509,"{0: 11, 1: 2, 2: 3, 3: 1, 4: 3}",0
115,FALSE,"{'a': 0.001, 'e': 0.9935090342861342}",25,0,-34.38338505,"{0: 19, 1: 0, 2: 6, 3: 0, 4: 0}",0
