ab_count,ab_id,ab_total,ax,ay,az,balls,batter_id,dateStamp,des,ftime,gid,id,inning,mlbam_pitch_name,norm_ht,p_throws,park_sv_id,pdes,pfx_x,pfx_xDataFile,pfx_z,pfx_zDataFile,pitch_con,pitch_count,pitcher_id,pitcher_team,play_guid,px,pxold,pz,pzold,result not valid,sb,spin,stand,start_speed,strikes,sz_bot,sz_top,tstart,type,uncorrected_pfx_x,uncorrected_pfx_z,vx0,vy0,vystart,vz0,x0,y0,z0,zone_location
3.0,14.0,5.0,-15.7869997101,32.7710008698,-18.032000946,2.0,407781.0,2007-06-06,Walk,0.287146330603,gid_2007_06_06_detmlb_texmlb_1/,101.0,2.0,FA,-0.969378,R,070606_200557tex,Ball,-7.81011436035,-7.952,6.99877636639,7.796,1.45109,23.0,434378.0,det,,0.327289892361,0.281,1.60816342806,1.672,,20.0,225.407,R,97.69,0.0,1.64,3.73,0.106520010162,B,-7.81011436035,6.99877636639,11.181000145,-142.56399585,-139.073228504,-8.86699980927,-2.85099991798,55.0,6.49600008774,23.0
4.0,14.0,5.0,-13.2770004349,33.4490003662,-16.9229997864,3.0,407781.0,2007-06-06,Walk,0.2880201795,gid_2007_06_06_detmlb_texmlb_1/,102.0,2.0,FA,-0.742584,R,070606_200616tex,Called Strike,-6.60841111956,-6.745,7.59342608643,8.399,1.41912,24.0,434378.0,det,,-0.0183881590041,-0.064,1.84452237824,1.909,,30.0,218.621,R,97.45,0.0,1.64,3.73,0.10671427916,S,-6.60841111956,7.59342608643,9.68499985504,-142.34700061,-138.777514648,-8.3780004425,-2.80700000763,55.0,6.47000006485,17.0
5.0,14.0,5.0,-13.9770002441,32.1920003967,-14.4789995422,3.0,407781.0,2007-06-06,Walk,0.283230317168,gid_2007_06_06_detmlb_texmlb_1/,103.0,2.0,FA,1.60574,R,070606_200633tex,Ball,-6.72736049387,-6.862,8.51930183452,9.304,1.49279,25.0,434378.0,det,,0.922864080055,0.878,4.29033860399,4.363,,31.0,216.278,R,98.67,1.0,1.64,3.73,0.105278350402,B,-6.72736049387,8.51930183452,12.1379999237,-144.17399646,-140.784875762,-3.1709999485,-2.73800000191,55.0,6.61500004578,4.0
1.0,15.0,2.0,-18.4800005035,36.5429983215,-18.7599996796,0.0,435079.0,2007-06-06,Pop Out,0.281757610502,gid_2007_06_06_detmlb_texmlb_1/,107.0,2.0,FA,0.602484,R,070606_200722tex,Called Strike,-8.80246972713,-8.946,6.39179333714,7.16,1.48119,26.0,434378.0,det,,-0.679933490729,-0.731,3.20506395078,3.274,,0.0,231.171,R,99.72,0.0,1.597,3.69,0.104174199723,S,-8.80246972713,6.39179333714,9.23300019073,-145.893005859,-142.086168254,-4.75700015259,-2.86699995041,55.0,6.438,6.0
2.0,15.0,2.0,9.50699996185,25.4240007477,-35.4369997253,0.0,435079.0,2007-06-06,Pop Out,0.328398899447,gid_2007_06_06_detmlb_texmlb_1/,108.0,2.0,SL,-0.0692785,R,070606_200756tex,"In play, out(s)",6.15174221847,6.03,-2.10817024704,-1.112,0.576834,27.0,434378.0,det,,0.698419612361,0.673,2.50344561609,2.571,,1.0,79.9894,R,85.17,1.0,1.597,3.69,0.121741962598,X,6.15174221847,-2.10817024704,6.13199988174,-124.759003174,-121.663835426,-0.785000030518,-3.02499994278,55.0,6.44699982452,13.0
1.0,16.0,1.0,-12.4849996643,36.3479986267,-13.3680004349,0.0,408042.0,2007-06-06,Runner Out,0.280898411102,gid_2007_06_06_detmlb_texmlb_1/,112.0,2.0,FA,-0.343269,R,070606_200846tex,Foul,-5.9106922905,-6.041,8.90556933086,9.68,1.47377,28.0,434378.0,det,,0.879888066704,0.834,2.25653064103,2.323,,0.0,211.841,R,100.18,0.0,1.64,3.72,0.103913759112,S,-5.9106922905,8.90556933086,11.6740001755,-146.238998901,-142.461941728,-8.02400035095,-2.68800004959,55.0,6.33399990845,14.0
1.0,25.0,5.0,-15.5590000229,33.921999939,-19.5789999237,0.0,408042.0,2007-06-06,Strikeout,0.293906254113,gid_2007_06_06_detmlb_texmlb_1/,190.0,3.0,FA,2.72788,R,070606_203018tex,Ball,-8.06400126283,-8.21,6.53039503679,7.362,1.33865,29.0,434378.0,det,,-1.14683396347,-1.196,5.44197172619,5.517,,0.0,227.95,R,95.54,0.0,1.64,3.72,0.10861315418,B,-8.06400126283,6.53039503679,7.07199993896,-139.947006714,-136.262631304,1.13800000715,-2.73299988747,55.0,6.56999996948,0.0
2.0,25.0,5.0,-14.1929998474,35.5139989929,-13.8049997559,1.0,408042.0,2007-06-06,Strikeout,0.296502878372,gid_2007_06_06_detmlb_texmlb_1/,191.0,3.0,FA,1.71058,R,070606_203032tex,Ball,-7.48657665974,-7.633,9.69198639138,10.55,1.36639,30.0,434378.0,det,,0.785782948089,0.744,4.38529288964,4.459,,10.0,215.755,R,95.29,0.0,1.64,3.72,0.109223952611,B,-7.48657665974,9.69198639138,11.3820003586,-139.272003662,-135.393024319,-2.66799992752,-2.66399988174,55.0,6.60399988937,4.0
3.0,25.0,5.0,-14.8430004196,35.7019987183,-13.733000206,2.0,408042.0,2007-06-06,Strikeout,0.297182247033,gid_2007_06_06_detmlb_texmlb_1/,192.0,3.0,FA,0.775962,R,070606_203048tex,Called Strike,-7.86536125276,-8.014,9.77460405218,10.637,1.324,31.0,434378.0,det,,0.163625570648,0.121,3.41705950972,3.487,,20.0,216.864,R,95.13,0.0,1.64,3.72,0.109418153492,S,-7.86536125276,9.77460405218,10.2400001602,-139.041992676,-135.1355459,-5.23800009918,-2.77300008774,55.0,6.68199995804,7.0
4.0,25.0,5.0,-18.1099996643,32.3669996338,-17.7749990692,2.0,408042.0,2007-06-06,Strikeout,0.292532047405,gid_2007_06_06_detmlb_texmlb_1/,193.0,3.0,FA,0.353846,R,070606_203103tex,Foul,-9.29857919279,-9.449,7.39573417066,8.223,1.47088,32.0,434378.0,det,,-0.877890485919,-0.926,2.98024323852,3.048,,21.0,228.816,R,95.81,1.0,1.64,3.72,0.10839498675,S,-9.29857919279,7.39573417066,8.66900006104,-140.136993896,-136.6285734,-5.60000008774,-2.89800008774,55.0,6.65400008011,5.0
5.0,25.0,5.0,8.28299998474,24.6629991608,-45.2530016174,2.0,408042.0,2007-06-06,Strikeout,0.341304963162,gid_2007_06_06_detmlb_texmlb_1/,194.0,3.0,CU,0.130769,R,070606_203125tex,Called Strike,5.78927418176,5.653,-9.13787035562,-8.079,1.29745,33.0,434378.0,det,,-1.02384408377,-1.051,2.74708577095,2.816,,22.0,35.1233,R,82.1,2.0,1.64,3.72,0.126249708455,S,5.78927418176,-9.13787035562,2.04000011253,-120.369003784,-117.255307331,2.87100010681,-2.88299998283,55.0,6.35100010681,10.0
1.0,26.0,5.0,-16.0600004272,31.2139997559,-18.4339994659,0.0,407496.0,2007-06-06,Single,0.292362523277,gid_2007_06_06_detmlb_texmlb_1/,198.0,3.0,FA,-0.318593,R,070606_203201tex,Called Strike,-8.23645264493,-8.382,7.04919321243,7.874,1.45521,34.0,434378.0,det,,-0.561089726531,-0.607,2.07280536941,2.138,,0.0,226.631,L,95.74,0.0,1.46,3.45,0.108516848414,S,-8.23645264493,7.04919321243,9.06600037384,-139.921005737,-136.533760857,-7.53100032043,-2.90500005722,55.0,6.57300022888,16.0
2.0,26.0,5.0,-7.85099983978,24.5490007477,-26.0470003357,0.0,407496.0,2007-06-06,Single,0.334608044883,gid_2007_06_06_detmlb_texmlb_1/,199.0,3.0,CH,0.469347,R,070606_203213tex,Foul,-5.27410747593,-5.435,4.11932568232,5.172,0.952567,35.0,434378.0,det,,-1.33622985026,-1.371,2.85010588004,2.922,,1.0,226.126,L,83.59,1.0,1.46,3.45,0.124029885629,S,-5.27410747593,4.11932568232,5.60900011826,-122.460999023,-119.416189268,-1.77800006104,-3.08300003052,55.0,6.40500000763,5.0
3.0,26.0,5.0,-15.2089996414,31.9040002899,-17.6720003357,0.0,407496.0,2007-06-06,Single,0.284325092826,gid_2007_06_06_detmlb_texmlb_1/,200.0,3.0,FA,0.841206,R,070606_203232tex,Ball,-7.37704239407,-7.515,7.03654113074,7.82,1.48905,36.0,434378.0,det,,0.944978190808,0.9,3.22402240724,3.292,,2.0,223.706,L,98.36,2.0,1.46,3.45,0.105691107149,B,-7.37704239407,7.03654113074,12.7269996719,-143.608994019,-140.237024905,-4.97400016022,-2.86200007439,55.0,6.50800017166,9.0
4.0,26.0,5.0,7.37400006485,22.0999994354,-42.0499986877,1.0,407496.0,2007-06-06,Single,0.339777091759,gid_2007_06_06_detmlb_texmlb_1/,201.0,3.0,CU,0.539698,R,070606_203243tex,Ball,5.10790224383,4.971,-6.83755029869,-5.782,1.22972,37.0,434378.0,det,,-1.66133510131,-1.69,2.92195292086,2.992,,12.0,40.9104,L,81.91,2.0,1.46,3.45,0.126362942931,B,5.10790224383,-6.83755029869,1.37200001049,-120.101997864,-117.309376896,2.50000005531,-3.10200008392,55.0,6.32500008392,5.0
5.0,26.0,5.0,7.35500001144,24.4970007019,-42.2429994812,2.0,407496.0,2007-06-06,Single,0.341555245296,gid_2007_06_06_detmlb_texmlb_1/,202.0,3.0,CU,0.222111,R,070606_203259tex,"In play, no out",5.14820517207,5.009,-7.0443962067,-5.978,1.29256,38.0,434378.0,det,,-0.156373112891,-0.182,2.60819616251,2.676,,22.0,40.1804,L,82.05,2.0,1.46,3.45,0.126374212007,X,5.14820517207,-7.0443962067,4.46099987793,-120.242996704,-117.147207544,1.84400003719,-3.04900011063,55.0,6.37000016022,12.0
1.0,27.0,1.0,-16.4199991302,30.4749994354,-24.5470003357,0.0,117863.0,2007-06-06,Single,0.296755290622,gid_2007_06_06_detmlb_texmlb_1/,206.0,3.0,FA,0.699727,R,070606_203346tex,"In play, no out",-8.67603551193,-8.826,4.03261288806,4.869,1.48118,39.0,434378.0,det,,-0.283316169449,-0.328,3.28066396531,3.349,,0.0,240.909,L,94.3,0.0,1.481,3.679,0.110118352239,X,-8.67603551193,4.03261288806,10.2459997253,-137.895004761,-134.539148038,-2.66799992752,-3.09300002098,55.0,6.39800003815,6.0
1.0,28.0,6.0,-12.8210001068,31.5679998474,-15.7769998779,0.0,276545.0,2007-06-06,Grounded Into DP,0.292069698218,gid_2007_06_06_detmlb_texmlb_1/,211.0,3.0,FA,0.243062,R,070606_203543tex,Ball,-6.56215006973,-6.701,8.39500704689,9.224,1.39102,40.0,434378.0,det,,-0.62288230602,-0.669,2.84092267204,2.909,,0.0,215.858,R,95.81,0.0,1.61,3.7,0.108363023852,B,-6.56215006973,8.39500704689,8.38099995422,-140.134003174,-136.713199253,-6.04899996948,-2.95100006104,55.0,6.52800015259,11.0
2.0,28.0,6.0,-10.8020000534,34.2429990845,-17.1620001068,1.0,276545.0,2007-06-06,Grounded Into DP,0.28799970687,gid_2007_06_06_detmlb_texmlb_1/,212.0,3.0,FA,0.391388,R,070606_203602tex,Ball,-5.37575561156,-5.507,7.4734050218,8.278,1.2779,41.0,434378.0,det,,-0.861727381103,-0.909,2.9963544614,3.064,,10.0,213.49,R,97.41,0.0,1.61,3.7,0.106590101442,B,-5.37575561156,7.4734050218,7.6109999733,-142.550995361,-138.901030615,-5.54399985504,-3.02400001526,55.0,6.51999977875,5.0
6.0,28.0,6.0,-16.955000885,32.6080007629,-16.7339996567,3.0,276545.0,2007-06-06,Grounded Into DP,0.277601182995,gid_2007_06_06_detmlb_texmlb_1/,216.0,3.0,FA,-0.831579,R,070606_203634tex,"In play, out(s)",-7.83956007031,-7.976,7.14137432364,7.891,1.46324,42.0,434378.0,det,,-0.584086908135,-0.636,1.72188319782,1.786,,32.0,225.158,R,100.52,2.0,1.61,3.7,0.103306721957,X,-7.83956007031,7.14137432364,9.12799969482,-146.882996094,-143.514370425,-8.81100005341,-2.83099993706,55.0,6.29200009155,16.0
1.0,35.0,3.0,-11.0909996109,27.2410001831,-26.3170007935,0.0,407893.0,2007-06-06,Strikeout,0.337796889698,gid_2007_06_06_detmlb_texmlb_1/,271.0,4.0,CH,-0.215078,R,070606_205156tex,Swinging Strike,-7.59334676643,-7.764,4.01336166995,5.086,1.09,43.0,434378.0,det,,-0.165520372093,-0.198,2.40336411077,2.474,,0.0,236.496,L,83.56,0.0,1.589,3.844,0.124464041255,S,-7.59334676643,4.01336166995,8.65199986267,-122.211998474,-118.821473504,-2.95699996185,-2.9800001049,55.0,6.58200005341,12.0
2.0,35.0,3.0,-12.8090000229,27.9000005798,-25.592000412,0.0,407893.0,2007-06-06,Strikeout,0.334532502787,gid_2007_06_06_detmlb_texmlb_1/,272.0,4.0,CH,-1.26874,R,070606_205211tex,Swinging Strike,-8.60088451147,-8.772,4.4229856064,5.477,1.16407,44.0,434378.0,det,,0.0634232492935,0.031,1.21867076123,1.286,,1.0,237.774,L,84.51,1.0,1.589,3.844,0.123232733477,S,-8.60088451147,4.4229856064,9.69599953461,-123.44000293,-120.001809594,-5.58800000381,-3.0330000782,55.0,6.45799998093,22.0
