dateStamp,park_sv_id,play_guid,ab_total,ab_count,pitcher_id,batter_id,ab_id,des,type,id,sz_top,sz_bot,pfx_xDataFile,pfx_zDataFile,mlbam_pitch_name,zone_location,pitch_con,stand,strikes,balls,p_throws,gid,pdes,spin,norm_ht,inning,pitcher_team,tstart,vystart,ftime,pfx_x,pfx_z,uncorrected_pfx_x,uncorrected_pfx_z,x0,y0,z0,vx0,vy0,vz0,ax,ay,az,start_speed,px,pz,pxold,pzold,sb,pitch_count
2009-09-08,090908_192252sfn,,6,6,518516,465784,1,Groundout,X,8,3.38,1.5,3.04,7.734,SL,13.0,0.865,R,2,3,L,gid_2009_09_08_sdnmlb_sfnmlb_1/,"In play, out(s)",158.688,0.170213,1,sfn,0.0791798552779,-125.330497356,0.317657480135,4.19023389793,7.17504099503,4.19023389793,7.17504099503,3.93542529019,55,5.74824315075,-9.13891135866,-128.212376873,-2.82729437803,6.92099989319,24.3560005341,-20.328000946,87.66,0.608822854665,2.5836661501,0.579,2.6,32,6
2009-09-08,090908_192328sfn,,7,1,518516,275930,2,Flyout,S,12,2.85,1.47,5.133,8.121,FF,9.0,0.961,R,0,0,L,gid_2009_09_08_sdnmlb_sfnmlb_1/,Called Strike,147.87,0.982609,1,sfn,0.0779334131967,-127.304338746,0.313059950448,6.27790645507,7.58452950697,6.27790645507,7.58452950697,4.05257592023,55,5.71733578559,-9.36017090488,-130.323576676,-2.59741936706,10.6760000076,25.9279991302,-19.281000061,89.1,1.01706483902,2.82331343971,0.989,2.838,0,7
2009-09-08,090908_192340sfn,,7,2,518516,275930,2,Flyout,S,13,3.38,1.5,5.164,7.856,FF,11.0,0.978,R,1,0,L,gid_2009_09_08_sdnmlb_sfnmlb_1/,Foul,146.859,-0.0191489,1,sfn,0.0781087599192,-126.980229247,0.314273125252,6.31717564706,7.31156796995,6.31717564706,7.31156796995,3.95333803087,55,5.75140361629,-12.8882972049,-130.10675864,-3.4894695078,10.6600002136,26.7930008087,-19.840999527,89.18,-0.61109951132,2.40505382194,-0.632,2.422,1,8
2009-09-08,090908_192406sfn,,7,3,518516,275930,2,Flyout,S,14,3.38,1.5,-3.298,3.232,SL,22.0,0.598,R,2,0,L,gid_2009_09_08_sdnmlb_sfnmlb_1/,Foul,225.105,-0.832979,1,sfn,0.0856856544738,-115.829299976,0.343525132665,-2.0477010162,2.50652223349,-2.0477010162,2.50652223349,4.14084857853,55,5.70476247398,-8.47947317544,-118.448624811,-1.88964051728,-2.89199983215,20.4549995575,-28.6389998627,80.98,-0.179425808558,1.62924052425,-0.226,1.657,2,9
2009-09-08,090908_192425sfn,,7,4,518516,275930,2,Flyout,B,15,3.02,1.6,-4.638,2.642,CU,9.0,0.887,R,2,0,L,gid_2009_09_08_sdnmlb_sfnmlb_1/,Ball,239.794,0.974648,1,sfn,0.0889840945659,-111.474265539,0.357803735332,-3.30070224486,1.84507460003,-3.30070224486,1.84507460003,4.12545690456,55,5.81133266749,-3.76009125125,-114.179603671,1.53408279879,-4.29700004196,20.3490005646,-29.777000351,77.9,1.76277150063,2.97853599796,1.688,3.002,2,10
2009-09-08,090908_192438sfn,,7,5,518516,275930,2,Flyout,S,16,3.38,1.5,3.913,6.796,FF,23.0,0.725,R,2,1,L,gid_2009_09_08_sdnmlb_sfnmlb_1/,Foul,150.26,-0.807447,1,sfn,0.0788417821834,-125.947596213,0.315238168074,5.05680137363,6.23379967727,5.05680137363,6.23379967727,3.97295648675,55,5.65161339927,-10.391863423,-128.604498365,-4.5134969626,8.48099983597,22.5440002594,-21.7240008545,88.02,0.267725802995,1.65951864073,0.242,1.681,12,11
2009-09-08,090908_192501sfn,,7,6,518516,275930,2,Flyout,B,17,2.94,1.52,-4.149,1.765,CU,14.0,0.867,R,2,1,L,gid_2009_09_08_sdnmlb_sfnmlb_1/,Ball,246.298,0.330986,1,sfn,0.0881386298774,-112.425261568,0.356426582808,-2.81495026432,0.960421292817,-2.81495026432,0.960421292817,3.97803237713,55,5.73047142255,-4.42843386015,-115.508525423,0.79931296804,-3.69299995041,23.4260002289,-30.9190005493,78.82,1.37697110843,2.43836946612,1.306,2.465,12,12
2009-09-08,090908_192513sfn,,7,7,518516,275930,2,Flyout,X,18,3.38,1.5,4.8,8.915,FF,23.0,0.943,R,2,2,L,gid_2009_09_08_sdnmlb_sfnmlb_1/,"In play, out(s)",151.848,-0.945745,1,sfn,0.0776670730763,-127.754377983,0.311813811104,5.93109358303,8.39290286031,5.93109358303,8.39290286031,3.86849085524,55,5.81111430267,-10.3152892457,-130.743837737,-6.20000294913,10.1670001831,25.759000412,-17.7919997406,89.52,0.385562261343,1.52975943342,0.361,1.551,22,13
2009-09-08,090908_192551sfn,,1,1,518516,408236,3,Groundout,X,22,3.51,1.7,5.812,6.584,FF,18.0,0.957,L,0,0,L,gid_2009_09_08_sdnmlb_sfnmlb_1/,"In play, out(s)",138.768,-0.679558,1,sfn,0.0769079141147,-129.009253683,0.308845280617,6.93528242533,6.0430466612,6.93528242533,6.0430466612,4.03302876614,55,5.77260438744,-10.7546052346,-132.04664902,-4.39322375112,12.1180003967,26.4309993896,-21.6200007629,90.38,0.563684836356,1.96974676528,0.541,1.99,0,14
2009-09-08,090908_194155sfn,,6,1,518516,450260,9,Groundout,B,72,3.69,1.81,5.015,9.305,FF,3.0,0.948,R,0,0,L,gid_2009_09_08_sdnmlb_sfnmlb_1/,Ball,151.824,1.27872,2,sfn,0.0784516802901,-126.33999814,0.316804910601,6.1851153096,8.77092791017,6.1851153096,8.77092791017,3.77021429384,55,5.92947153076,-9.7356376611,-129.706303417,-0.756080572177,10.2710002747,28.7310005341,-17.6140002441,88.69,0.512416729953,3.94274689753,0.482,3.952,0,15
2009-09-08,090908_194207sfn,,6,2,518516,450260,9,Groundout,S,73,3.7,1.74,4.065,7.221,FF,21.0,0.646,R,0,1,L,gid_2009_09_08_sdnmlb_sfnmlb_1/,Foul,150.803,-1.11633,2,sfn,0.0787316039846,-126.040596085,0.315905480321,5.21595189153,6.662000314,5.21595189153,6.662000314,3.94618770789,55,5.73959720571,-12.2760332788,-128.949183224,-4.97561359384,8.71099985504,24.7219997559,-21.0529994202,88.38,-0.557440050224,1.60373751842,-0.581,1.626,10,16
2009-09-08,090908_194226sfn,,6,3,518516,450260,9,Groundout,B,74,3.65,1.77,2.327,5.673,SL,5.0,0.874,R,1,1,L,gid_2009_09_08_sdnmlb_sfnmlb_1/,Ball,157.888,0.468085,2,sfn,0.0783112296847,-126.712213635,0.31428460506,3.44329002222,5.09915053822,3.44329002222,5.09915053822,3.62733341177,55,5.80668628562,-13.4509061423,-129.651205418,-1.11140829042,5.81000007057,25.1149994049,-23.5750006866,88.88,-1.63368995692,3.13459291315,-1.649,3.15,11,17
2009-09-08,090908_194239sfn,,6,4,518516,450260,9,Groundout,S,75,3.7,1.74,2.057,9.005,FF,17.0,0.749,R,1,2,L,gid_2009_09_08_sdnmlb_sfnmlb_1/,Foul,167.237,-0.780612,2,sfn,0.0791824955072,-125.115074381,0.320576420806,3.21503302406,8.4531816671,3.21503302406,8.4531816671,3.7437954636,55,5.7931235227,-9.72559893988,-128.625354586,-4.73877291673,5.21400011444,29.6900001678,-18.4699992371,88.01,-0.0218655742902,1.93553385167,-0.051,1.955,21,18
